| table_schema | table_name                 | column_name                  | data_type                   | is_nullable | primary_key | foreign_key                                  |
| auth         | oauth_authorizations       | response_type                | USER-DEFINED                | NO          |             |                                              |
| auth         | oauth_authorizations       | status                       | USER-DEFINED                | NO          |             |                                              |
| auth         | oauth_authorizations       | authorization_code           | text                        | YES         |             |                                              |
| auth         | oauth_authorizations       | created_at                   | timestamp with time zone    | NO          |             |                                              |
| auth         | oauth_authorizations       | expires_at                   | timestamp with time zone    | NO          |             |                                              |
| auth         | oauth_authorizations       | approved_at                  | timestamp with time zone    | YES         |             |                                              |
| auth         | oauth_authorizations       | nonce                        | text                        | YES         |             |                                              |
| auth         | oauth_client_states        | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | oauth_client_states        | provider_type                | text                        | NO          |             |                                              |
| auth         | oauth_client_states        | code_verifier                | text                        | YES         |             |                                              |
| auth         | oauth_client_states        | created_at                   | timestamp with time zone    | NO          |             |                                              |
| auth         | oauth_clients              | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | oauth_clients              | client_secret_hash           | text                        | YES         |             |                                              |
| auth         | oauth_clients              | registration_type            | USER-DEFINED                | NO          |             |                                              |
| auth         | oauth_clients              | redirect_uris                | text                        | NO          |             |                                              |
| auth         | oauth_clients              | grant_types                  | text                        | NO          |             |                                              |
| auth         | oauth_clients              | client_name                  | text                        | YES         |             |                                              |
| auth         | oauth_clients              | client_uri                   | text                        | YES         |             |                                              |
| auth         | oauth_clients              | logo_uri                     | text                        | YES         |             |                                              |
| auth         | oauth_clients              | created_at                   | timestamp with time zone    | NO          |             |                                              |
| auth         | oauth_clients              | updated_at                   | timestamp with time zone    | NO          |             |                                              |
| auth         | oauth_clients              | deleted_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | oauth_clients              | client_type                  | USER-DEFINED                | NO          |             |                                              |
| auth         | oauth_clients              | token_endpoint_auth_method   | text                        | NO          |             |                                              |
| auth         | oauth_consents             | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | oauth_consents             | user_id                      | uuid                        | NO          |             |                                              |
| auth         | oauth_consents             | client_id                    | uuid                        | NO          |             |                                              |
| auth         | oauth_consents             | scopes                       | text                        | NO          |             |                                              |
| auth         | oauth_consents             | granted_at                   | timestamp with time zone    | NO          |             |                                              |
| auth         | oauth_consents             | revoked_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | one_time_tokens            | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | one_time_tokens            | user_id                      | uuid                        | NO          |             |                                              |
| auth         | one_time_tokens            | token_type                   | USER-DEFINED                | NO          |             |                                              |
| auth         | one_time_tokens            | token_hash                   | text                        | NO          |             |                                              |
| auth         | one_time_tokens            | relates_to                   | text                        | NO          |             |                                              |
| auth         | one_time_tokens            | created_at                   | timestamp without time zone | NO          |             |                                              |
| auth         | one_time_tokens            | updated_at                   | timestamp without time zone | NO          |             |                                              |
| auth         | refresh_tokens             | instance_id                  | uuid                        | YES         |             |                                              |
| auth         | refresh_tokens             | id                           | bigint                      | NO          | PRIMARY KEY |                                              |
| auth         | refresh_tokens             | token                        | character varying           | YES         |             |                                              |
| auth         | refresh_tokens             | user_id                      | character varying           | YES         |             |                                              |
| auth         | refresh_tokens             | revoked                      | boolean                     | YES         |             |                                              |
| auth         | refresh_tokens             | created_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | refresh_tokens             | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | refresh_tokens             | parent                       | character varying           | YES         |             |                                              |
| auth         | refresh_tokens             | session_id                   | uuid                        | YES         |             |                                              |
| auth         | saml_providers             | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | saml_providers             | sso_provider_id              | uuid                        | NO          |             |                                              |
| auth         | saml_providers             | entity_id                    | text                        | NO          |             |                                              |
| auth         | saml_providers             | metadata_xml                 | text                        | NO          |             |                                              |
| auth         | saml_providers             | metadata_url                 | text                        | YES         |             |                                              |
| auth         | saml_providers             | attribute_mapping            | jsonb                       | YES         |             |                                              |
| auth         | saml_providers             | created_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | saml_providers             | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | saml_providers             | name_id_format               | text                        | YES         |             |                                              |
| auth         | saml_relay_states          | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | saml_relay_states          | sso_provider_id              | uuid                        | NO          |             |                                              |
| auth         | saml_relay_states          | request_id                   | text                        | NO          |             |                                              |
| auth         | saml_relay_states          | for_email                    | text                        | YES         |             |                                              |
| auth         | saml_relay_states          | redirect_to                  | text                        | YES         |             |                                              |
| auth         | saml_relay_states          | created_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | saml_relay_states          | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | saml_relay_states          | flow_state_id                | uuid                        | YES         |             |                                              |
| auth         | schema_migrations          | version                      | character varying           | NO          | PRIMARY KEY |                                              |
| auth         | sessions                   | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | sessions                   | user_id                      | uuid                        | NO          |             |                                              |
| auth         | sessions                   | created_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | sessions                   | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | sessions                   | factor_id                    | uuid                        | YES         |             |                                              |
| auth         | sessions                   | aal                          | USER-DEFINED                | YES         |             |                                              |
| auth         | sessions                   | not_after                    | timestamp with time zone    | YES         |             |                                              |
| auth         | sessions                   | refreshed_at                 | timestamp without time zone | YES         |             |                                              |
| auth         | sessions                   | user_agent                   | text                        | YES         |             |                                              |
| auth         | sessions                   | ip                           | inet                        | YES         |             |                                              |
| auth         | sessions                   | tag                          | text                        | YES         |             |                                              |
| auth         | sessions                   | oauth_client_id              | uuid                        | YES         |             |                                              |
| auth         | sessions                   | refresh_token_hmac_key       | text                        | YES         |             |                                              |
| auth         | sessions                   | refresh_token_counter        | bigint                      | YES         |             |                                              |
| auth         | sessions                   | scopes                       | text                        | YES         |             |                                              |
| auth         | sso_domains                | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | sso_domains                | sso_provider_id              | uuid                        | NO          |             |                                              |
| auth         | sso_domains                | domain                       | text                        | NO          |             |                                              |
| auth         | sso_domains                | created_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | sso_domains                | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | sso_providers              | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | sso_providers              | resource_id                  | text                        | YES         |             |                                              |
| auth         | sso_providers              | created_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | sso_providers              | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | sso_providers              | disabled                     | boolean                     | YES         |             |                                              |
| auth         | users                      | instance_id                  | uuid                        | YES         |             |                                              |
| auth         | users                      | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | users                      | aud                          | character varying           | YES         |             |                                              |
| auth         | users                      | role                         | character varying           | YES         |             |                                              |
| auth         | users                      | email                        | character varying           | YES         |             |                                              |
| auth         | users                      | encrypted_password           | character varying           | YES         |             |                                              |
| auth         | users                      | email_confirmed_at           | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | invited_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | confirmation_token           | character varying           | YES         |             |                                              |
| auth         | users                      | confirmation_sent_at         | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | recovery_token               | character varying           | YES         |             |                                              |
| auth         | users                      | recovery_sent_at             | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | email_change_token_new       | character varying           | YES         |             |                                              |
| auth         | users                      | email_change                 | character varying           | YES         |             |                                              |
| auth         | users                      | email_change_sent_at         | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | last_sign_in_at              | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | raw_app_meta_data            | jsonb                       | YES         |             |                                              |
| auth         | users                      | raw_user_meta_data           | jsonb                       | YES         |             |                                              |
| auth         | users                      | is_super_admin               | boolean                     | YES         |             |                                              |
| auth         | users                      | created_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | phone                        | text                        | YES         |             |                                              |
| auth         | users                      | phone_confirmed_at           | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | phone_change                 | text                        | YES         |             |                                              |
| auth         | users                      | phone_change_token           | character varying           | YES         |             |                                              |
| auth         | users                      | phone_change_sent_at         | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | confirmed_at                 | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | email_change_token_current   | character varying           | YES         |             |                                              |
| auth         | users                      | email_change_confirm_status  | smallint                    | YES         |             |                                              |
| auth         | users                      | banned_until                 | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | reauthentication_token       | character varying           | YES         |             |                                              |
| auth         | users                      | reauthentication_sent_at     | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | is_sso_user                  | boolean                     | NO          |             |                                              |
| auth         | users                      | deleted_at                   | timestamp with time zone    | YES         |             |                                              |
| auth         | users                      | is_anonymous                 | boolean                     | NO          |             |                                              |
| auth         | webauthn_challenges        | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | webauthn_challenges        | user_id                      | uuid                        | YES         |             |                                              |
| auth         | webauthn_challenges        | challenge_type               | text                        | NO          |             |                                              |
| auth         | webauthn_challenges        | session_data                 | jsonb                       | NO          |             |                                              |
| auth         | webauthn_challenges        | created_at                   | timestamp with time zone    | NO          |             |                                              |
| auth         | webauthn_challenges        | expires_at                   | timestamp with time zone    | NO          |             |                                              |
| auth         | webauthn_credentials       | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| auth         | webauthn_credentials       | user_id                      | uuid                        | NO          |             |                                              |
| auth         | webauthn_credentials       | credential_id                | bytea                       | NO          |             |                                              |
| auth         | webauthn_credentials       | public_key                   | bytea                       | NO          |             |                                              |
| auth         | webauthn_credentials       | attestation_type             | text                        | NO          |             |                                              |
| auth         | webauthn_credentials       | aaguid                       | uuid                        | YES         |             |                                              |
| auth         | webauthn_credentials       | sign_count                   | bigint                      | NO          |             |                                              |
| auth         | webauthn_credentials       | transports                   | jsonb                       | NO          |             |                                              |
| auth         | webauthn_credentials       | backup_eligible              | boolean                     | NO          |             |                                              |
| auth         | webauthn_credentials       | backed_up                    | boolean                     | NO          |             |                                              |
| auth         | webauthn_credentials       | friendly_name                | text                        | NO          |             |                                              |
| auth         | webauthn_credentials       | created_at                   | timestamp with time zone    | NO          |             |                                              |
| auth         | webauthn_credentials       | updated_at                   | timestamp with time zone    | NO          |             |                                              |
| auth         | webauthn_credentials       | last_used_at                 | timestamp with time zone    | YES         |             |                                              |
| public       | contract_emissions         | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| public       | contract_emissions         | tenant_id                    | uuid                        | NO          |             | FOREIGN KEY -> public.tenants(id)            |
| public       | contract_emissions         | template_id                  | uuid                        | NO          |             | FOREIGN KEY -> public.contract_templates(id) |
| public       | contract_emissions         | employee_id                  | uuid                        | NO          |             | FOREIGN KEY -> public.employees(id)          |
| public       | contract_emissions         | resolved_data                | jsonb                       | NO          |             |                                              |
| public       | contract_emissions         | status                       | character varying           | YES         |             |                                              |
| public       | contract_emissions         | signature_base64             | text                        | YES         |             |                                              |
| public       | contract_emissions         | signature_mime               | character varying           | YES         |             |                                              |
| public       | contract_emissions         | signed_at                    | timestamp with time zone    | YES         |             |                                              |
| public       | contract_emissions         | signed_by_employee_id        | uuid                        | YES         |             | FOREIGN KEY -> public.employees(id)          |
| public       | contract_emissions         | signature_ip                 | inet                        | YES         |             |                                              |
| public       | contract_emissions         | signature_ua                 | text                        | YES         |             |                                              |
| public       | contract_emissions         | generated_pdf_url            | text                        | YES         |             |                                              |
| public       | contract_emissions         | emitted_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | contract_emissions         | valid_from                   | date                        | YES         |             |                                              |
| public       | contract_emissions         | valid_until                  | date                        | YES         |             |                                              |
| public       | contract_emissions         | created_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | contract_emissions         | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | contract_emissions         | emitted_by                   | uuid                        | YES         |             |                                              |
| public       | contract_emissions         | updated_by                   | uuid                        | YES         |             |                                              |
| public       | contract_templates         | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| public       | contract_templates         | tenant_id                    | uuid                        | NO          |             | FOREIGN KEY -> public.tenants(id)            |
| public       | contract_templates         | name                         | character varying           | NO          |             |                                              |
| public       | contract_templates         | description                  | text                        | YES         |             |                                              |
| public       | contract_templates         | content                      | text                        | NO          |             |                                              |
| public       | contract_templates         | available_fields             | jsonb                       | YES         |             |                                              |
| public       | contract_templates         | legal_validation_required    | boolean                     | YES         |             |                                              |
| public       | contract_templates         | legal_validated_at           | timestamp with time zone    | YES         |             |                                              |
| public       | contract_templates         | legal_validated_by           | uuid                        | YES         |             |                                              |
| public       | contract_templates         | is_active                    | boolean                     | YES         |             |                                              |
| public       | contract_templates         | created_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | contract_templates         | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | contract_templates         | created_by                   | uuid                        | YES         |             |                                              |
| public       | contract_templates         | updated_by                   | uuid                        | YES         |             |                                              |
| public       | employee_document_logs     | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| public       | employee_document_logs     | tenant_id                    | uuid                        | NO          |             | FOREIGN KEY -> public.tenants(id)            |
| public       | employee_document_logs     | employee_id                  | uuid                        | YES         |             | FOREIGN KEY -> public.employees(id)          |
| public       | employee_document_logs     | document_id                  | uuid                        | YES         |             | FOREIGN KEY -> public.employee_documents(id) |
| public       | employee_document_logs     | action                       | character varying           | NO          |             |                                              |
| public       | employee_document_logs     | action_by                    | uuid                        | YES         |             |                                              |
| public       | employee_document_logs     | ip_address                   | inet                        | YES         |             |                                              |
| public       | employee_document_logs     | user_agent                   | text                        | YES         |             |                                              |
| public       | employee_document_logs     | metadata                     | jsonb                       | YES         |             |                                              |
| public       | employee_document_logs     | created_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | employee_documents         | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| public       | employee_documents         | tenant_id                    | uuid                        | NO          |             | FOREIGN KEY -> public.tenants(id)            |
| public       | employee_documents         | employee_id                  | uuid                        | NO          |             | FOREIGN KEY -> public.employees(id)          |
| public       | employee_documents         | type                         | USER-DEFINED                | NO          |             |                                              |
| public       | employee_documents         | file_url                     | text                        | NO          |             |                                              |
| public       | employee_documents         | file_name                    | character varying           | YES         |             |                                              |
| public       | employee_documents         | file_size_bytes              | integer                     | YES         |             |                                              |
| public       | employee_documents         | mime_type                    | character varying           | YES         |             |                                              |
| public       | employee_documents         | metadata                     | jsonb                       | YES         |             |                                              |
| public       | employee_documents         | valid_from                   | date                        | YES         |             |                                              |
| public       | employee_documents         | valid_until                  | date                        | YES         |             |                                              |
| public       | employee_documents         | is_valid                     | boolean                     | YES         |             |                                              |
| public       | employee_documents         | created_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | employee_documents         | uploaded_by                  | uuid                        | YES         |             |                                              |
| public       | employee_documents         | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | employee_documents         | is_sensitive                 | boolean                     | YES         |             |                                              |
| public       | employee_documents         | visible_to_employee          | boolean                     | YES         |             |                                              |
| public       | employee_pending_contracts | id                           | uuid                        | YES         |             |                                              |
| public       | employee_pending_contracts | tenant_id                    | uuid                        | YES         |             |                                              |
| public       | employee_pending_contracts | employee_id                  | uuid                        | YES         |             |                                              |
| public       | employee_pending_contracts | template_id                  | uuid                        | YES         |             |                                              |
| public       | employee_pending_contracts | status                       | character varying           | YES         |             |                                              |
| public       | employee_pending_contracts | emitted_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | employee_pending_contracts | valid_from                   | date                        | YES         |             |                                              |
| public       | employee_pending_contracts | valid_until                  | date                        | YES         |             |                                              |
| public       | employee_pending_contracts | template_name                | character varying           | YES         |             |                                              |
| public       | employee_pending_contracts | template_description         | text                        | YES         |             |                                              |
| public       | employee_pending_contracts | employee_name                | character varying           | YES         |             |                                              |
| public       | employee_pending_contracts | employee_email               | character varying           | YES         |             |                                              |
| public       | employees                  | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| public       | employees                  | tenant_id                    | uuid                        | NO          |             | FOREIGN KEY -> public.tenants(id)            |
| public       | employees                  | nome                         | character varying           | NO          |             |                                              |
| public       | employees                  | email                        | character varying           | YES         |             |                                              |
| public       | employees                  | telefone                     | character varying           | YES         |             |                                              |
| public       | employees                  | nif                          | character varying           | YES         |             |                                              |
| public       | employees                  | niss                         | character varying           | YES         |             |                                              |
| public       | employees                  | data_nascimento              | date                        | YES         |             |                                              |
| public       | employees                  | nacionalidade                | character varying           | YES         |             |                                              |
| public       | employees                  | cargo                        | character varying           | NO          |             |                                              |
| public       | employees                  | departamento                 | character varying           | YES         |             |                                              |
| public       | employees                  | data_admissao                | date                        | NO          |             |                                              |
| public       | employees                  | data_saida                   | date                        | YES         |             |                                              |
| public       | employees                  | tipo_contrato                | character varying           | YES         |             |                                              |
| public       | employees                  | vencimento_base              | numeric                     | YES         |             |                                              |
| public       | employees                  | moeda                        | character varying           | YES         |             |                                              |
| public       | employees                  | subsidio_alimentacao         | numeric                     | YES         |             |                                              |
| public       | employees                  | subsidio_férias              | numeric                     | YES         |             |                                              |
| public       | employees                  | subsidio_natal               | numeric                     | YES         |             |                                              |
| public       | employees                  | tsu_empresa_percent          | numeric                     | YES         |             |                                              |
| public       | employees                  | seguro_acidentes_trabalho    | character varying           | YES         |             |                                              |
| public       | employees                  | seguro_saude_ref             | character varying           | YES         |             |                                              |
| public       | employees                  | status                       | character varying           | YES         |             |                                              |
| public       | employees                  | observacoes                  | text                        | YES         |             |                                              |
| public       | employees                  | created_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | employees                  | updated_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | employees                  | created_by                   | uuid                        | YES         |             |                                              |
| public       | employees                  | updated_by                   | uuid                        | YES         |             |                                              |
| public       | employees                  | insurance_value              | numeric                     | YES         |             |                                              |
| public       | employees                  | work_location                | USER-DEFINED                | YES         |             |                                              |
| public       | employees                  | work_location_address        | text                        | YES         |             |                                              |
| public       | employees                  | company_id                   | uuid                        | NO          |             | FOREIGN KEY -> public.tenants(id)            |
| public       | employees                  | local_trabalho_lat           | numeric                     | YES         |             |                                              |
| public       | employees                  | local_trabalho_lng           | numeric                     | YES         |             |                                              |
| public       | employees                  | local_trabalho_raio_metros   | integer                     | YES         |             |                                              |
| public       | empresas                   | id                           | uuid                        | NO          | PRIMARY KEY |                                              |
| public       | empresas                   | nome_empresa                 | text                        | YES         |             |                                              |
| public       | empresas                   | plano                        | text                        | YES         |             |                                              |
| public       | empresas                   | modulo_logistica_ativo       | boolean                     | YES         |             |                                              |
| public       | empresas                   | modulo_condominios_ativo     | boolean                     | YES         |             |                                              |
| public       | empresas                   | created_at                   | timestamp with time zone    | YES         |             |                                              |
| public       | frotas                     | id                           | bigint                      | NO          | PRIMARY KEY |                                              |
| public       | frotas                     | empresa_id                   | uuid                        | YES         |             | FOREIGN KEY -> public.empresas(id)           |
| public       | frotas                     | matricula                    | text                        | YES         |             |                                              |
| public       | frotas                     | modelo                       | text                        | YES         |             |                                              |
| public       | frotas                     | estado                       | text                        | YES         |             |                                              |
| public       | geography_columns          | f_table_catalog              | name                        | YES         |             |                                              |
| public       | geography_columns          | f_table_schema               | name                        | YES         |             |                                              |
| public       | geography_columns          | f_table_name                 | name                        | YES         |             |                                              |
| public       | geography_columns          | f_geography_column           | name                        | YES         |             |                                              |
| public       | geography_columns          | coord_dimension              | integer                     | YES         |             |                                              |
| public       | geography_columns          | srid                         | integer                     | YES         |             |                                              |
| public       | geography_columns          | type                         | text                        | YES         |             |                                              |
| public       | geometry_columns           | f_table_catalog              | character varying           | YES         |             |                                              |
| public       | geometry_columns           | f_table_schema               | name                        | YES         |             |                                              |
